,Year,quarter,miles_distance,daily_passengers,average_fare,DEP,ARR,ROUTE
290,2012,2,920,364,358.02,CLT,IAH,CLTIAH
291,2012,3,920,367,336.37,CLT,IAH,CLTIAH
292,2012,4,920,381,319.97,CLT,IAH,CLTIAH
293,2013,1,920,352,321.61,CLT,IAH,CLTIAH
294,2011,3,1916,539,247.91,CLT,LAS,CLTLAS
295,2011,4,1916,513,262.71,CLT,LAS,CLTLAS
296,2012,1,1916,526,270.9,CLT,LAS,CLTLAS
297,2012,2,1916,607,264.81,CLT,LAS,CLTLAS
298,2012,3,1916,477,265.23,CLT,LAS,CLTLAS
299,2012,4,1916,508,257.78,CLT,LAS,CLTLAS
300,2013,1,1916,609,258.5,CLT,LAS,CLTLAS
301,2011,3,2125,772,313.54,CLT,LAX,CLTLAX
302,2011,4,2125,799,302.61,CLT,LAX,CLTLAX
303,2012,1,2125,647,330.17,CLT,LAX,CLTLAX
304,2012,2,2125,915,301.89,CLT,LAX,CLTLAX
305,2012,3,2125,860,302.25,CLT,LAX,CLTLAX
306,2012,4,2125,825,311.77,CLT,LAX,CLTLAX
307,2013,1,2125,712,335.1,CLT,LAX,CLTLAX
308,2011,3,650,669,211.5,CLT,MIA,CLTMIA
309,2011,4,650,794,207.3,CLT,MIA,CLTMIA
310,2012,1,650,736,229.44,CLT,MIA,CLTMIA
311,2012,2,650,749,223.57,CLT,MIA,CLTMIA
312,2012,3,650,647,223.27,CLT,MIA,CLTMIA
313,2012,4,650,768,221.94,CLT,MIA,CLTMIA
314,2013,1,650,776,231.15,CLT,MIA,CLTMIA
315,2011,3,930,454,247.4,CLT,MSP,CLTMSP
316,2011,4,930,426,259.41,CLT,MSP,CLTMSP
317,2012,1,930,285,333.81,CLT,MSP,CLTMSP
318,2012,2,930,422,309.8,CLT,MSP,CLTMSP
319,2012,3,930,452,268.69,CLT,MSP,CLTMSP
320,2012,4,930,409,272.5,CLT,MSP,CLTMSP
321,2013,1,930,320,319.48,CLT,MSP,CLTMSP
322,2011,3,575,2813,180.95,CLT,JFK,CLTJFK
323,2011,3,575,2813,180.95,CLT,LGA,CLTLGA
324,2011,3,575,2813,180.95,CLT,EWR,CLTEWR
325,2011,4,575,2970,177.87,CLT,JFK,CLTJFK
326,2011,4,575,2970,177.87,CLT,LGA,CLTLGA
327,2011,4,575,2970,177.87,CLT,EWR,CLTEWR
328,2012,1,575,2360,184.67,CLT,JFK,CLTJFK
329,2012,1,575,2360,184.67,CLT,LGA,CLTLGA
330,2012,1,575,2360,184.67,CLT,EWR,CLTEWR
331,2012,2,575,3263,172.7,CLT,JFK,CLTJFK
332,2012,2,575,3263,172.7,CLT,LGA,CLTLGA
333,2012,2,575,3263,172.7,CLT,EWR,CLTEWR
334,2012,3,575,3298,163.26,CLT,JFK,CLTJFK
335,2012,3,575,3298,163.26,CLT,LGA,CLTLGA
336,2012,3,575,3298,163.26,CLT,EWR,CLTEWR
337,2012,4,575,3513,148.51,CLT,JFK,CLTJFK
338,2012,4,575,3513,148.51,CLT,LGA,CLTLGA
339,2012,4,575,3513,148.51,CLT,EWR,CLTEWR
340,2013,1,575,2928,152.05,CLT,JFK,CLTJFK
341,2013,1,575,2928,152.05,CLT,LGA,CLTLGA
342,2013,1,575,2928,152.05,CLT,EWR,CLTEWR
343,2011,3,468,613,149.45,CLT,MCO,CLTMCO
344,2011,4,468,803,138.61,CLT,MCO,CLTMCO
345,2012,1,468,813,151.5,CLT,MCO,CLTMCO
346,2012,2,468,891,133.71,CLT,MCO,CLTMCO
347,2012,3,468,579,168.62,CLT,MCO,CLTMCO
348,2012,4,468,525,220.63,CLT,MCO,CLTMCO
349,2013,1,468,571,224.53,CLT,MCO,CLTMCO
350,2011,3,449,602,250.44,CLT,PHL,CLTPHL
351,2011,4,449,573,244.59,CLT,PHL,CLTPHL
352,2012,1,449,544,262.21,CLT,PHL,CLTPHL
353,2012,2,449,626,261.29,CLT,PHL,CLTPHL
354,2012,3,449,536,261.08,CLT,PHL,CLTPHL
355,2012,4,449,532,262.12,CLT,PHL,CLTPHL
356,2013,1,449,549,261.66,CLT,PHL,CLTPHL
357,2011,3,1773,297,312.36,CLT,PHX,CLTPHX
358,2011,4,1773,363,303.42,CLT,PHX,CLTPHX
359,2012,1,1773,346,322.44,CLT,PHX,CLTPHX
360,2012,2,1773,368,309.09,CLT,PHX,CLTPHX
361,2012,3,1773,301,303.16,CLT,PHX,CLTPHX
362,2012,4,1773,397,300.49,CLT,PHX,CLTPHX
363,2013,1,1773,424,305.05,CLT,PHX,CLTPHX
364,2011,3,2296,584,342.16,CLT,SFO,CLTSFO
365,2011,4,2296,542,339.03,CLT,SFO,CLTSFO
366,2012,1,2296,504,342.26,CLT,SFO,CLTSFO
367,2012,2,2296,661,348.08,CLT,SFO,CLTSFO
368,2012,3,2296,635,339.53,CLT,SFO,CLTSFO
369,2012,4,2296,567,356.76,CLT,SFO,CLTSFO
370,2013,1,2296,502,358.92,CLT,SFO,CLTSFO
371,2011,3,2279,386,294.22,CLT,SEA,CLTSEA
372,2011,4,2279,264,287.63,CLT,SEA,CLTSEA
373,2012,1,2279,199,306.71,CLT,SEA,CLTSEA
374,2012,2,2279,316,308.97,CLT,SEA,CLTSEA
375,2012,3,2279,372,310.8,CLT,SEA,CLTSEA
376,2012,4,2279,231,330.2,CLT,SEA,CLTSEA
377,2013,1,2279,219,290.6,CLT,SEA,CLTSEA
378,2011,3,802,3146,216.03,ORD,DFW,ORDDFW
379,2011,4,802,3399,188.95,ORD,DFW,ORDDFW
380,2012,1,802,2689,217.2,ORD,DFW,ORDDFW
381,2012,2,802,3220,228.67,ORD,DFW,ORDDFW
382,2012,3,802,3427,209.72,ORD,DFW,ORDDFW
383,2012,4,802,3254,210.38,ORD,DFW,ORDDFW
384,2013,1,802,2712,210.31,ORD,DFW,ORDDFW
385,2011,3,895,3057,188.85,ORD,DEN,ORDDEN
386,2011,4,895,2760,171.54,ORD,DEN,ORDDEN
387,2012,1,895,2347,170.23,ORD,DEN,ORDDEN
388,2012,2,895,2898,169.52,ORD,DEN,ORDDEN
389,2012,3,895,3383,171.12,ORD,DEN,ORDDEN
390,2012,4,895,2905,164.87,ORD,DEN,ORDDEN
391,2013,1,895,2685,168.97,ORD,DEN,ORDDEN
392,2011,3,235,1464,149.86,ORD,DTW,ORDDTW
393,2011,4,235,1497,138.47,ORD,DTW,ORDDTW
394,2012,1,235,1438,133.13,ORD,DTW,ORDDTW
395,2012,2,235,1522,146.7,ORD,DTW,ORDDTW
396,2012,3,235,1468,139.76,ORD,DTW,ORDDTW
397,2012,4,235,1542,143.29,ORD,DTW,ORDDTW
398,2013,1,235,1370,145.1,ORD,DTW,ORDDTW
399,2011,3,945,2338,226.19,ORD,IAH,ORDIAH
400,2011,4,945,2179,225.53,ORD,IAH,ORDIAH
401,2012,1,945,1725,263.74,ORD,IAH,ORDIAH
402,2012,2,945,2145,271.69,ORD,IAH,ORDIAH
403,2012,3,945,2207,257.68,ORD,IAH,ORDIAH
404,2012,4,945,2320,252.92,ORD,IAH,ORDIAH
405,2013,1,945,2024,247.19,ORD,IAH,ORDIAH
406,2011,3,1521,3338,195.15,ORD,LAS,ORDLAS
407,2011,4,1521,3048,183.85,ORD,LAS,ORDLAS
408,2012,1,1521,3326,183.5,ORD,LAS,ORDLAS
409,2012,2,1521,3512,197.42,ORD,LAS,ORDLAS
410,2012,3,1521,3301,188.04,ORD,LAS,ORDLAS
411,2012,4,1521,2942,201.88,ORD,LAS,ORDLAS
412,2013,1,1521,2958,215.33,ORD,LAS,ORDLAS
413,2011,3,1750,6272,219.45,ORD,LAX,ORDLAX
414,2011,4,1750,5657,214.93,ORD,LAX,ORDLAX
