,Year,quarter,Departure,Arrival,miles_distance,daily_passengers,average_fare,DEP,ARR
127,2012,4,"Atlanta, GA (Metropolitan Area)","Minneapolis/St. Paul, MN",907,1077,216.15,ATL,MSP
128,2013,1,"Atlanta, GA (Metropolitan Area)","Minneapolis/St. Paul, MN",907,909,243.33,ATL,MSP
129,2013,2,"Atlanta, GA (Metropolitan Area)","Minneapolis/St. Paul, MN",907,1200,239.52,ATL,MSP
130,2013,3,"Atlanta, GA (Metropolitan Area)","Minneapolis/St. Paul, MN",907,1075,267.36,ATL,MSP
131,2013,4,"Atlanta, GA (Metropolitan Area)","Minneapolis/St. Paul, MN",907,1219,222.05,ATL,MSP
132,2011,1,"Atlanta, GA (Metropolitan Area)","New York City, NY (Metropolitan Area)",795,4788,205.0,ATL,JFK
133,2011,2,"Atlanta, GA (Metropolitan Area)","New York City, NY (Metropolitan Area)",795,6362,218.23,ATL,JFK
134,2011,3,"Atlanta, GA (Metropolitan Area)","New York City, NY (Metropolitan Area)",795,6033,205.29,ATL,JFK
135,2011,4,"Atlanta, GA (Metropolitan Area)","New York City, NY (Metropolitan Area)",795,5891,220.43,ATL,JFK
136,2012,1,"Atlanta, GA (Metropolitan Area)","New York City, NY (Metropolitan Area)",795,5016,224.2,ATL,JFK
137,2012,2,"Atlanta, GA (Metropolitan Area)","New York City, NY (Metropolitan Area)",795,6590,204.27,ATL,JFK
138,2012,3,"Atlanta, GA (Metropolitan Area)","New York City, NY (Metropolitan Area)",795,6702,184.52,ATL,JFK
139,2012,4,"Atlanta, GA (Metropolitan Area)","New York City, NY (Metropolitan Area)",795,6536,194.28,ATL,JFK
140,2013,1,"Atlanta, GA (Metropolitan Area)","New York City, NY (Metropolitan Area)",795,5447,197.2,ATL,JFK
141,2013,2,"Atlanta, GA (Metropolitan Area)","New York City, NY (Metropolitan Area)",795,6867,210.65,ATL,JFK
142,2013,3,"Atlanta, GA (Metropolitan Area)","New York City, NY (Metropolitan Area)",795,6298,229.22,ATL,JFK
143,2013,4,"Atlanta, GA (Metropolitan Area)","New York City, NY (Metropolitan Area)",795,6419,230.28,ATL,JFK
144,2011,1,"Atlanta, GA (Metropolitan Area)","Orlando, FL",403,1528,163.03,ATL,MCO
145,2011,2,"Atlanta, GA (Metropolitan Area)","Orlando, FL",403,1484,186.5,ATL,MCO
146,2011,3,"Atlanta, GA (Metropolitan Area)","Orlando, FL",404,1306,160.58,ATL,MCO
147,2011,4,"Atlanta, GA (Metropolitan Area)","Orlando, FL",404,1368,167.32,ATL,MCO
148,2012,1,"Atlanta, GA (Metropolitan Area)","Orlando, FL",404,1488,186.2,ATL,MCO
149,2012,2,"Atlanta, GA (Metropolitan Area)","Orlando, FL",404,1554,154.71,ATL,MCO
150,2012,3,"Atlanta, GA (Metropolitan Area)","Orlando, FL",404,1365,142.11,ATL,MCO
151,2012,4,"Atlanta, GA (Metropolitan Area)","Orlando, FL",404,1622,147.71,ATL,MCO
