,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,AIR_TIME_MEAN
223,LGA,"New York, NY",DTW,"Detroit, MI",3771.46
224,LGA,"New York, NY",EWR,"Newark, NJ",41.8
225,LGA,"New York, NY",IAH,"Houston, TX",14503.08
226,LGA,"New York, NY",JFK,"New York, NY",33.43
227,LGA,"New York, NY",LAS,"Las Vegas, NV",305.0
228,LGA,"New York, NY",LAX,"Los Angeles, CA",306.0
229,LGA,"New York, NY",LGA,"New York, NY",152.5
230,LGA,"New York, NY",MCO,"Orlando, FL",5351.5
231,LGA,"New York, NY",MIA,"Miami, FL",12936.53
232,LGA,"New York, NY",MSP,"Minneapolis, MN",6510.91
233,LGA,"New York, NY",ORD,"Chicago, IL",15450.42
234,LGA,"New York, NY",PHL,"Philadelphia, PA",2259.4
235,LGA,"New York, NY",PHX,"Phoenix, AZ",294.0
236,LGA,"New York, NY",SEA,"Seattle, WA",317.0
237,LGA,"New York, NY",SFO,"San Francisco, CA",337.0
238,MCO,"Orlando, FL",ATL,"Atlanta, GA",4387.81
239,MCO,"Orlando, FL",BOS,"Boston, MA",6141.45
240,MCO,"Orlando, FL",CLT,"Charlotte, NC",2794.91
241,MCO,"Orlando, FL",DEN,"Denver, CO",7880.92
242,MCO,"Orlando, FL",DFW,"Dallas/Fort Worth, TX",8845.12
243,MCO,"Orlando, FL",DTW,"Detroit, MI",4261.06
244,MCO,"Orlando, FL",EWR,"Newark, NJ",6008.99
245,MCO,"Orlando, FL",IAH,"Houston, TX",2832.64
246,MCO,"Orlando, FL",JFK,"New York, NY",7801.8
247,MCO,"Orlando, FL",LAS,"Las Vegas, NV",11663.7
248,MCO,"Orlando, FL",LAX,"Los Angeles, CA",7245.15
249,MCO,"Orlando, FL",LGA,"New York, NY",5612.65
250,MCO,"Orlando, FL",MIA,"Miami, FL",1423.07
251,MCO,"Orlando, FL",MSP,"Minneapolis, MN",3989.4
252,MCO,"Orlando, FL",ORD,"Chicago, IL",7792.38
253,MCO,"Orlando, FL",PHL,"Philadelphia, PA",4905.23
254,MCO,"Orlando, FL",PHX,"Phoenix, AZ",8465.46
255,MCO,"Orlando, FL",SEA,"Seattle, WA",12977.46
256,MCO,"Orlando, FL",SFO,"San Francisco, CA",5295.26
257,MIA,"Miami, FL",ATL,"Atlanta, GA",3277.53
258,MIA,"Miami, FL",BOS,"Boston, MA",14069.86
259,MIA,"Miami, FL",CLT,"Charlotte, NC",5537.14
260,MIA,"Miami, FL",DEN,"Denver, CO",5211.35
261,MIA,"Miami, FL",DFW,"Dallas/Fort Worth, TX",10435.7
262,MIA,"Miami, FL",DTW,"Detroit, MI",4136.16
263,MIA,"Miami, FL",EWR,"Newark, NJ",4358.14
264,MIA,"Miami, FL",IAH,"Houston, TX",4341.16
265,MIA,"Miami, FL",JFK,"New York, NY",4972.47
